1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Country,WHO_REGION
1930237.684,964774.5801,892218.0583,761689.9615,676445.2294,386294.4474,483680.1285,236008.8453,114303.9634,112212.7021,90538.48953,257185.5009,394914.5586,439297.6515,476571.4022,386042.2853,319055.6418,180596.6533,207330.8388,320478.0948,415540.302,208152.7276,13795.1897,20996.92651,73025.54162,108245.9874,51288.69856,67066.80536,132812.5059,94804.18577,140225.1836,137577.8984,9658.050736,20733.21959,Afghanistan,EMR
430565.2738,572505.8119,420149.3923,425056.9782,428510.0414,291478.1417,248899.3272,404954.1164,368688.8616,559861.2058,345552.17,312533.811,187583.994,122644.0196,54409.60329,31064.85006,165048.4081,79661.04478,45385.11547,58834.00877,170445.4524,221465.3368,78290.53594,1305.989083,15860.23421,32126.58798,14587.36219,17473.12011,52073.7748,18029.72788,30563.8037,68787.63053,156218.3024,211742.9606,Angola,AFR
NA,NA,1418.356254,2291.763909,2764.065521,2987.247079,136034,3161.962332,325545.4805,4684.306152,5339.187985,4786.282315,5676.637541,4479.329411,4018.4142,5138.200819,6668.091403,6794.463835,5681.445899,4391.252209,58.5103184,177.5533709,339.4654699,478.9012441,587.1655401,754.8374011,807.7538247,3031.726449,1819.433178,1366.10879,4472.745655,2071.29243,1445.370846,1164.580223,Albania,EUR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,10,10,25,5,0,0,0,0,0,0,0,0,0,0,0,0,Andorra,EUR
14100,8455,10525,8745,12000,10790,14565,5935,5340,5935,5740,5315,3725,2590,3355,2125,1215,1480,585,345,150,265,210,110,145,NA,NA,275,NA,435,NA,660,0,1720,United Arab Emirates,EMR
87910,22160,35530,158755,46200,32240,40120,23755,20045,9835,210465,102755,25435,670,3275,295,625,51145,1565,30,0,0,0,0,0,0,0,0,15,85,15,10,0,5,Argentina,AMR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7142.371361,7019.196986,6908.005685,6793.066236,6644.492862,6785.595304,6608.893667,6386.790545,6153.824284,5929.110026,5707.207845,5611.995897,5408.292697,5260.641653,5484.485321,5326.3401,5151.543203,32.6024172,36.06999424,32.87204733,35.65212029,38.09944564,41.08333525,44.12110005,Armenia,EUR
1235,0,50,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antigua and Barbuda,AMR
NA,NA,NA,NA,NA,NA,NA,1240,845,4400,6900,7125,22680,24475,5990,2490,4265,1635,1175,540,705,160,455,350,50,NA,55,325,520,350,950,995,790,1700,Australia,WPR
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0,0,5,NA,0,NA,450,75,45,115,100,2240,245,260,340,180,0,0,Austria,EUR
